area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
816709.0,3599.6045826673508,1101,1083,1.0166204986149583,1.4599851354644064,15.865079424323463,36.74029583333333,70.312759375,25.082371354166668,45.40749528111134,81.1680099861701,34.33465738539578,22.519507223437323,0.9973325192111736,0.6496350139687213,5.610549983891196
921651.0,4100.217710852623,1379,1039,1.327237728585178,1.5545808554431124,18.24094508267177,34.69654479166667,64.96045,23.6990984375,46.639466872434,69.34510362105001,35.58155904660708,92.36049818543522,0.9926303971647086,0.560696216522601,7.248007133800736
552595.5,3851.400599360466,1398,1049,1.332697807435653,2.653843543785644,26.84293769448748,29.863130729166667,49.42978541666667,23.7173671875,48.48232600682304,77.06482192443984,39.44707670893749,23.181860465655188,0.9962036047047176,0.7515587960252692,4.221778470747301
38792.5,3037.4106954336166,1177,822,1.4318734793187349,24.940233292517885,237.8259646254953,4.2829734375,5.2136046875,4.262034375,27.772276090785866,30.83211263263751,28.93408043990657,6.31302142740685,0.9930799546657164,0.9718886484433006,0.634763634702307
941357.5,3719.822836875916,1303,988,1.3188259109311742,1.3675612081488702,14.6990722841679,43.594426041666665,72.4675625,32.378144791666664,47.40852477374355,73.4637080674323,37.0260251835319,11.66389555056434,0.9988184844637352,0.6350702482781553,6.042617441259669
404929.0,3727.438057422638,1385,906,1.5286975717439293,3.0988395496494445,34.311680496883774,16.834858854166665,34.20084270833333,8.799939583333334,35.28283705119415,65.29048241096483,23.55094610176025,11.708659766894556,0.9982263388830191,0.8270853677296367,3.036640157664132
386992.0,2978.365777373314,1289,454,2.83920704845815,1.5121914664902634,22.92208289532741,22.489123958333334,28.639320833333333,19.9508953125,45.38315692802106,57.39242114887984,41.312384110786496,6.522945741332897,0.998942453392602,0.8503353678314977,2.83159058424096
848667.5,4032.7101311683655,1499,939,1.5963791267305645,1.6585541451746415,19.16268857005597,30.4181515625,52.7476328125,23.79141145833333,49.89470052437044,64.02924976028666,43.21807053801245,80.65856615777376,0.9945480135550584,0.6209557643161735,6.521800800354886
1021242.0,4328.467498660088,1343,1125,1.1937777777777778,1.4794485538197606,18.34592671174581,21.9311421875,53.978841145833336,11.497680729166667,32.306097862826014,53.92432557056596,24.04460318944044,54.18599619754922,0.9968505092598592,0.578649297572218,7.03295644321162
277786.0,3715.407733440399,1420,988,1.437246963562753,5.050506505007451,49.69384571471825,15.330433854166667,24.80503177083333,11.894478125,38.92359270670154,59.32126790123802,32.66095470143053,11.842432196837128,0.9971725695720036,0.8728842707632264,2.39774919801148
403602.5,3480.1802624464035,1307,921,1.4191096634093376,2.9825063026121,30.00886926895031,14.854796875,24.371729166666668,13.070947395833333,33.85087567199442,49.04161614691802,31.575940608653145,11.712738060127547,0.9987861461562276,0.8326691243387462,3.1832413462939475
431627.5,3867.42498421669,1481,991,1.4944500504540867,3.400318561722782,34.65250941736443,20.541325,32.8056546875,16.3931359375,41.35960807048799,61.22407681183941,34.189755560408415,21.668128872561702,0.997102795071293,0.7982431495517286,3.537960991620313
599083.0,4089.4178491830826,1515,1039,1.4581328200192494,2.6274906815916994,27.91489383811123,29.364399479166668,53.854721875,16.454659375,46.08282480127944,79.6459617064255,30.36342461983483,43.80924671326412,0.9937518217872982,0.7181098081371258,4.709505409539642
871619.0,3910.76187312603,1462,878,1.6651480637813212,1.4727030961922585,17.546724461371557,49.1611,82.87717135416666,38.1143515625,56.72223691226986,90.56904455935585,44.37141571523631,27.72986479752906,0.9958189985223748,0.6248020588691642,6.403056091557271
354799.0,2895.71397614479,1259,423,2.976359338061466,1.5010104312582615,23.633548661750098,20.792071354166666,29.57716145833333,28.254066666666667,55.49235303504207,60.40733568402669,73.13020179592166,7.0891268964224015,0.999218837761262,0.8349956461819562,3.089734910531477
215651.5,3618.738684773445,1407,943,1.4920466595970308,6.152523863733848,60.724222501006686,9.1496171875,15.722610416666669,8.1358375,28.924203003448607,44.392079234578055,26.63287106359848,8.12702877435865,0.9983950393253556,0.9052120295117796,1.897614191464368
877583.0,4103.771096944809,1483,1023,1.4496578690127078,1.728735629564383,19.19013610805998,43.36717083333333,78.30488541666666,19.9926421875,49.35456806319101,84.2960682535532,28.185585439932986,12.800374923629988,0.9984262272538988,0.6571247654142685,5.805295592282884
246665.5,2088.462107539177,841,357,2.355742296918768,1.2171827839726268,17.68254569296063,5.031830208333333,14.888209895833333,4.619330729166666,16.98813723247793,39.10315179850303,16.48503553637088,8.166815519679908,0.9988550974098224,0.8955669983819367,1.888846858990164
613500.0,3365.389288187027,1369,707,1.9363507779349365,1.577641401792991,18.46103514432597,12.1212234375,34.833968229166665,5.918311458333333,34.74289161683342,54.63222785527103,24.655125880645844,44.914165953495925,0.9971246208072292,0.7134976767694772,5.05306987150472
627486.5,3160.328322172165,916,926,0.9892008639308856,1.3517677272738138,15.916956147938691,23.696644791666667,48.56291458333333,15.2004171875,38.16000204174404,69.40797108465665,28.07864452325744,15.520291419980008,0.998391184621806,0.7323213612660519,4.48016925941868
783598.5,4395.538565635681,1531,1037,1.476374156219865,2.026097548680861,24.65645261188042,33.976052083333336,57.45183229166667,24.18210989583333,45.077304704407,69.661093223108,36.90015729480937,41.22163629404707,0.9960739680137808,0.6494722989450211,5.780569576974524
988388.0,4092.70299744606,1548,891,1.7373737373737377,1.3954722234588035,16.94700646436821,51.512221875,92.11765625,37.9885921875,53.14649506906151,89.2481968347643,41.48087039738096,28.0648544077625,0.9959472612636204,0.5936232088666815,6.720843453155148
854254.0,3906.962882518768,1189,1112,1.0692446043165469,1.5477457524342877,17.868642072942432,27.687313541666665,58.835216145833336,15.186204166666666,38.58288789913357,67.45119242313098,28.502881193690747,52.18467987209938,0.9959199526939572,0.6237791700409252,6.324513497994694
775509.5,3474.5436170101166,1265,877,1.442417331812999,1.43054985142026,15.56712502748934,40.94943802083333,70.30251145833333,30.632302604166668,53.01112633061501,85.25938383315501,41.37549033168788,26.09953348326328,0.9963654332783484,0.6646710427247865,5.728990211820473
904430.0,3750.2076078653336,1179,1084,1.0876383763837638,1.4130844841502384,15.55018862940308,42.8779546875,75.14413958333333,35.04505416666667,48.15031643894836,79.38436884885155,40.74615246812144,31.18700266565904,0.9963487011778236,0.6103481402906814,6.175001936336288
